htgrk,htypek,gtypek,grunntype
L,L-2,L2-C-7,L2-C-7  litt kalk­fat­tig ­til in­ter­me­diær sand- og ­grus­bunn
L,L-2,L2-C-8,L2-C-8  litt kalk­fat­tig ­til in­ter­me­diær ­løs­bunn
L,L-2,L2-C-9,L2-C-9  litt kalk­fat­tig ­til in­ter­me­diær kalk­fat­tig ­leir­bunn
L,L-3,L3-C-1,L3-C-1  kalk­fat­tig og in­ter­me­diær ­dyp ­se­di­ment­bunn
L,L-3,L3-C-2,L3-C-2  kalk­rik ­dyp ­se­di­ment­bunn
L,L-4,L4-C-1,L4-C-1  kalk­fat­tig he­l­o­fytt­sump
L,L-4,L4-C-2,L4-C-2  litt kalk­fat­tig ­til in­ter­me­diær he­l­o­fytt­sump
L,L-4,L4-C-3,L4-C-3  kalk­rik he­l­o­fytt­sump
L,L-5,L5-C-1,L5-C-1  litt kalk­fat­tig og in­ter­me­diær ­grunn­kil­de
L,L-5,L5-C-2,L5-C-2  litt kalk­fat­tig og in­ter­me­diær torv­mark­s­kil­de
L,L-5,L5-C-3,L5-C-3  litt kalk­fat­tig og in­ter­me­diær inn­sjø- og elve­kil­de
L,L-5,L5-C-4,L5-C-4  kalk­rik ­grunn­kil­de
L,L-6,L6-C-1,L6-C-1  pe­rio­disk an­ok­sisk inn­sjø­bunn
L,L-6,L6-C-2,L6-C-2  an­ok­sisk inn­sjø­bunn
L,L-7,L7-C-1,L7-C-1  sterk­t re­gu­ler­t el­ler ­ny ­fast inn­sjø­bunn
L,L-7,L7-C-2,L7-C-2  sterk­t re­gu­ler­t el­ler ­ny ­fast elve­bunn
L,L-7,L7-C-3,L7-C-3  ned­dem­t na­ken­t ­berg
L,L-8,L8-C-1,L8-C-1  inn­sjø­bunn som er sterk­t ­endret ved­ ­de­po­ne­ring el­ler ut­tak av ­mas­ser
L,L-8,L8-C-2,L8-C-2  elve­bunn som er sterk­t ­endret ved­ ­de­po­ne­ring el­ler ut­tak av ­mas­ser
L,L-8,L8-C-3,L8-C-3  bunn ­med sterk­t ­av­vi­ken­de kje­misk ­sam­men­set­ning
L,L-8,L8-C-4,L8-C-4  sterk­t ­endret ­grunn­kilde­bunn
L,L-8,L8-C-5,L8-C-5  sterk­t re­gu­ler­t inn­sjø­bunn
L,L-8,L8-C-6,L8-C-6  sterk­t re­gu­ler­t elve­bunn
L,L-8,L8-C-7,L8-C-7  ned­dem­t jord­dek­t ­fast­mar­k og andre ­løs­mas­ser
L,L-8,L8-C-8,L8-C-8  ned­dem­t torv­mark
M,M-1,M1-C-1,M1-C-1  grønn­al­ge­bunn
M,M-1,M1-C-10,M1-C-10  noks­å ­brakk ­be­skyt­tet in­fra­li­to­ral ­fast­bunn
M,M-1,M1-C-11,M1-C-11  noks­å ­brakk ­be­skyt­tet øv­re cir­ca­li­to­ral ­fast­bunn
M,M-1,M1-C-12,M1-C-12  noks­å ­brakk noks­å ­eks­po­ner­t in­fra­li­to­ral ­fast­bunn
M,M-1,M1-C-13,M1-C-13  noks­å ­brakk noks­å ­eks­po­ner­t øv­re cir­ca­li­to­ral ­fast­bunn
M,M-1,M1-C-14,M1-C-14  svær­t ­brakk s­vær­t ­be­skyt­tet ­fast al­ge­bunn
M,M-1,M1-C-15,M1-C-15  svær­t ­brakk ­be­skyt­tet-­eks­po­ner­t ­fast tare­skogs­-al­ge­bunn
M,M-1,M1-C-16,M1-C-16  svær­t ­be­skyt­tet ­berg­veg­g un­der ­sub­li­to­ral
M,M-1,M1-C-17,M1-C-17  be­skyt­tet-­eks­po­ner­t ­sub­li­to­ral ­berg­vegg
M,M-1,M1-C-18,M1-C-18  be­skyt­tet-­eks­po­ner­t ­berg­veg­g un­der ­sub­li­to­ral
M,M-1,M1-C-19,M1-C-19  Berg­veg­g i s­ter­k ­tide­vanns­strøm
M,M-1,M1-C-2,M1-C-2  rø­dal­ge­bunn
M,M-1,M1-C-20,M1-C-20  svær­t ­be­skyt­tet noks­å ­brakk ­berg­vegg
M,M-1,M1-C-21,M1-C-21  be­skyt­tet-­eks­po­ner­t noks­å ­brakk ­berg­veg­g i ­sub­li­to­ral
M,M-1,M1-C-22,M1-C-22  be­skyt­tet-­eks­po­ner­t noks­å ­brakk ­berg­veg­g un­der ­sub­li­to­ral
M,M-1,M1-C-23,M1-C-23  svær­t ­brakk ­berg­vegg
M,M-1,M1-C-24,M1-C-24  svær­t ­be­skyt­tet ­blokk­do­mi­ner­t ­bunn un­der ­sub­li­to­ral
M,M-1,M1-C-25,M1-C-25  be­skyt­tet-­eks­po­ner­t ­blokk­do­mi­ner­t ­bunn i ­sub­li­to­ral
M,M-1,M1-C-26,M1-C-26  be­skyt­tet-­eks­po­ner­t ­blokk­do­mi­ner­t ­bunn un­der ­sub­li­to­ral
M,M-1,M1-C-27,M1-C-27  svær­t ­eks­po­ner­t ­blokk­do­mi­ner­t ­bunn
M,M-1,M1-C-28,M1-C-28  be­skyt­tet-­eks­po­ner­t noks­å ­brakk ­blokk­do­mi­ner­t ­bunn un­der­sub­li­to­ral
M,M-1,M1-C-29,M1-C-29  blokk­do­mi­ner­t ­bunn pre­get av ­dis­rup­tiv is­for­styr­rel­se
M,M-1,M1-C-3,M1-C-3  suk­kertare­skog
M,M-1,M1-C-4,M1-C-4  sag­tang­bunn
M,M-1,M1-C-5,M1-C-5  stor­tare­skog
M,M-1,M1-C-6,M1-C-6  fin­gertare­bunn
M,M-1,M1-C-7,M1-C-7  svær­t ­eks­po­ner­t ­fast­bunn
M,M-1,M1-C-8,M1-C-8  noks­å ­brakk s­vær­t ­be­skyt­tet ­fast al­ge­bunn
M,M-1,M1-C-9,M1-C-9  noks­å ­brakk ­be­skyt­tet-­eks­po­ner­t ­sub­li­to­ral ­fast­bunn
M,M-10,M10-C-1,M10-C-1  ytre bren­nings­grot­te
M,M-10,M10-C-2,M10-C-2  ytre ­ma­rin ­grunt­vanns­grot­te
M,M-10,M10-C-3,M10-C-3  ma­rin ­dyp­grot­te
M,M-10,M10-C-4,M10-C-4  indre bren­nings­grot­te
M,M-10,M10-C-5,M10-C-5  indre ­ma­rin ­grunt­vanns­grot­te
M,M-11,M11-C-1,M11-C-1  Usta­bil ­kil­de på ­sub­li­to­ral sok­kel
M,M-11,M11-C-2,M11-C-2  Sta­bil ­kil­de på ­sub­li­to­ral sok­kel
M,M-11,M11-C-3,M11-C-3  Usta­bil ­kil­de i ­ned­re ­sub­li­to­ral
M,M-11,M11-C-4,M11-C-4  Sta­bil ­kil­de i ­ned­re ­sub­li­to­ral
M,M-11,M11-C-5,M11-C-5  Usta­bil ­dyp­havs­kil­de
M,M-11,M11-C-6,M11-C-6  Sta­bil ­dyp­havs­kil­de
M,M-11,M11-C-7,M11-C-7  Mud­der­vul­kan
M,M-12,M12-C-1,M12-C-1  ob­ser­ver­bar­t og ­litt jord­var­mein­flu­er­t ­kil­de i øv­re ­sub­li­to­ral
M,M-12,M12-C-2,M12-C-2  ob­ser­ver­bar­t og ­litt jord­var­mein­flu­er­t ­kil­de i ­ned­re ­sub­li­to­ral
M,M-12,M12-C-3,M12-C-3  ob­ser­ver­bar­t og ­litt jord­var­mein­flu­er­t ­kil­de i ­dyp­ha­vet
M,M-12,M12-C-4,M12-C-4  Sterk­t jord­var­mein­flu­er­t ­kil­de i øv­re ­sub­li­to­ral
M,M-12,M12-C-5,M12-C-5  tem­me­lig og sterk­t jord­var­mein­flu­er­t ­kil­de i ­ned­re ­sub­li­to­ral
M,M-12,M12-C-6,M12-C-6  tem­me­lig og sterk­t jord­var­mein­flu­er­t ­kil­de i ­dyp­ha­vet
M,M-12,M12-C-7,M12-C-7  eks­trem­t sterk­t og ­dis­rup­tiv jord­var­mein­flu­er­t ­kil­de
M,M-13,M13-C-1,M13-C-1  Pe­rio­disk an­ok­sisk ­grun­ne­re ­se­di­ment­bunn
M,M-13,M13-C-2,M13-C-2  Pe­rio­disk an­ok­sisk ­dy­pe­re ­se­di­ment­bunn
M,M-13,M13-C-3,M13-C-3  An­ok­sisk ­grun­ne­re ­se­di­ment­bunn
M,M-13,M13-C-4,M13-C-4  An­ok­sisk ­dy­pe­re ­se­di­ment­bunn
M,M-14,M14-C-1,M14-C-1  Sterk­t ­endret ­ma­rin ­fast­bunn i ­tide­vanns­so­nen
M,M-14,M14-C-2,M14-C-2  Sterk­t ­endret ­grunn ­ma­rin ­fast­bunn
M,M-14,M14-C-3,M14-C-3  Sterk­t ­endret ­dyp ­ma­rin ­fast­bunn
M,M-15,M15-C-1,M15-C-1  Sterk­t ­endret sand- og ­grus­bunn
M,M-15,M15-C-2,M15-C-2  Sterk­t ­endret ­løs­bunn
M,M-15,M15-C-3,M15-C-3  Sterk­t ­endret stein­bunn
M,M-15,M15-C-4,M15-C-4  Sterk­t ­for­uren­set ­løs­bunn
M,M-2,M2-C-1,M2-C-1  dy­pe­re ­fast­bunn i øv­re ­sub­li­to­ral ­med ­li­te ­strøm
M,M-2,M2-C-10,M2-C-10  strøm­på­vir­ket ­fast­bunn i a­bys­sal
M,M-2,M2-C-11,M2-C-11  fast­bunn ­dan­net av var­me ­kil­der i ­at­lan­tisk ­vann
M,M-2,M2-C-12,M2-C-12  abys­sal ­fast­bunn ­dan­net av var­me ­kil­der
M,M-2,M2-C-13,M2-C-13  dyp ­berg­veg­g I øv­re ­sub­li­to­ral ­med ­li­te ­strøm
M,M-2,M2-C-14,M2-C-14  noe ­strøm­på­vir­ket ­dyp ­berg­veg­g i øv­re ­sub­li­to­ral
M,M-2,M2-C-15,M2-C-15  li­te ­strøm­på­vir­ket ­berg­veg­g i ­at­lan­tisk ­vann
M,M-2,M2-C-16,M2-C-16  noe ­strøm­på­vir­ket ­berg­veg­g i ­at­lan­tisk ­vann
M,M-2,M2-C-17,M2-C-17  li­te ­strøm­på­vir­ket ­berg­veg­g i in­ter­me­diær­t ­vann
M,M-2,M2-C-18,M2-C-18  noe ­strøm­på­vir­ket ­berg­veg­g i in­ter­me­diær­t ­vann
M,M-2,M2-C-19,M2-C-19  bat­hya­l ­berg­vegg
M,M-2,M2-C-2,M2-C-2  fast­bunn i ­at­lan­tisk ­vann ­med ­li­te ­strøm
M,M-2,M2-C-20,M2-C-20  abys­sal ­berg­vegg
M,M-2,M2-C-3,M2-C-3  fast­bunn I in­ter­me­diær­t ­vann ­med ­li­te ­strøm
M,M-2,M2-C-4,M2-C-4  fast­bunn i ­bat­hya­l ­med ­li­te ­strøm
M,M-2,M2-C-5,M2-C-5  fast­bunn i a­bys­sal ­med ­li­te ­strøm
M,M-2,M2-C-6,M2-C-6  dy­pe­re ­fast­bunn i øv­re ­sub­li­to­ral ­med ­strøm­på­virk­ning
M,M-2,M2-C-7,M2-C-7  strøm­på­vir­ket ­fast­bunn i ­at­lan­tisk ­vann
M,M-2,M2-C-8,M2-C-8  strøm­på­vir­ket ­fast­bunn i in­ter­me­diær­t ­vann
M,M-2,M2-C-9,M2-C-9  strøm­på­vir­ket ­fast­bunn i ­bat­hyal
M,M-3,M3-C-1,M3-C-1  grisetang­bunn
M,M-3,M3-C-10,M3-C-10  bunn ­do­mi­ner­t av ­fi­la­men­tø­se al­ger
M,M-3,M3-C-11,M3-C-11  tem­me­lig ­brakk ­be­skyt­tet ­berg­knaus i hydro­li­to­ral
M,M-3,M3-C-12,M3-C-12  tem­me­lig ­brakk ­be­skyt­tet ­berg­knaus i ­ge­oli­to­ral
M,M-3,M3-C-13,M3-C-13  svær­t ­brakk ­fjære­so­ne-­berg­knaus
M,M-3,M3-C-14,M3-C-14  be­skyt­tet ­ned­re ­fjære­so­ne-­berg­vegg
M,M-3,M3-C-15,M3-C-15  be­skyt­tet øv­re ­fjære­so­ne-­berg­vegg
M,M-3,M3-C-16,M3-C-16  litt ­be­skyt­tet ­fjære­so­ne-­berg­vegg
M,M-3,M3-C-17,M3-C-17  eks­po­ner­t ­fjære­so­ne-­berg­vegg
M,M-3,M3-C-18,M3-C-18  brakk ­fjære­so­ne-­berg­vegg
M,M-3,M3-C-19,M3-C-19  is­skur­t ­fjære­so­ne-­fast­bunn
M,M-3,M3-C-2,M3-C-2  grønn­al­ge-­spi­ral­tang­bunn
M,M-3,M3-C-3,M3-C-3  grønn­al­ge-rur­bunn
M,M-3,M3-C-4,M3-C-4  blære­tang­bunn
M,M-3,M3-C-5,M3-C-5  spi­ral­tang­bunn
M,M-3,M3-C-6,M3-C-6  saue­tang-blå­skjell­bunn
M,M-3,M3-C-7,M3-C-7  rem­tang­bunn
M,M-3,M3-C-8,M3-C-8  strandsnegl-blå­skjell­bunn
M,M-3,M3-C-9,M3-C-9  strandsnegl-blå­skjel­l-rur­bunn
M,M-4,M4-C-1,M4-C-1  grunn sand­bunn
M,M-4,M4-C-10,M4-C-10  grunn skjell­sand­bunn
M,M-4,M4-C-11,M4-C-11  grunn rugl­bunn
M,M-4,M4-C-12,M4-C-12  sand­bunn i rø­dalge­bel­tet
M,M-4,M4-C-13,M4-C-13  løs ­mud­der­bunn i rø­dalge­bel­tet
M,M-4,M4-C-14,M4-C-14  grus- og stein­bunn I rø­dalge­bel­tet
M,M-4,M4-C-15,M4-C-15  fin­ma­te­ria­le­rik ­se­di­ment­bunn i rø­dalge­bel­tet
M,M-4,M4-C-16,M4-C-16   finse­di­ment­bunn I rø­dalge­bel­tet
M,M-4,M4-C-17,M4-C-17  fast­leire­bunn i rø­dalge­bel­tet
M,M-4,M4-C-18,M4-C-18  alge­gytje­bunn i rø­dalge­bel­tet
M,M-4,M4-C-19,M4-C-19  skjell­sand­bunn i rø­dalge­bel­tet
M,M-4,M4-C-2,M4-C-2  grunn ­løs ­mud­der­bunn
M,M-4,M4-C-20,M4-C-20  rugl­bunn i rø­dalge­bel­tet
M,M-4,M4-C-21,M4-C-21  brakk sand­bunn
M,M-4,M4-C-22,M4-C-22  brakk ­løs ­mud­der­bunn
M,M-4,M4-C-23,M4-C-23  brakk  ­fin ­til ­mid­del­s ­grus­bunn
M,M-4,M4-C-24,M4-C-24  brakk ­grov ­sil­t- ­til ­fast ­leir­bunn
M,M-4,M4-C-25,M4-C-25  brakk ­fin ­grus- ­til stein­bunn
M,M-4,M4-C-26,M4-C-26  brakk ­grus- og stein­bunn ­med ­fin­ma­te­ria­le
M,M-4,M4-C-27,M4-C-27  brakk alge­gytje­bunn
M,M-4,M4-C-28,M4-C-28  brakk ­løs kalk­mud­der­bunn
M,M-4,M4-C-29,M4-C-29  hydro­li­to­ral sand­bunn
M,M-4,M4-C-3,M4-C-3  grunn ­fin ­til ­mid­del­s ­grus­bunn
M,M-4,M4-C-30,M4-C-30  hydro­li­to­ral ­løs ­mud­der­bunn
M,M-4,M4-C-31,M4-C-31  hydro­li­to­ral ­fin ­til ­mid­del­s ­grus­bunn
M,M-4,M4-C-32,M4-C-32  hydro­li­to­ral ­silt­bunn
M,M-4,M4-C-33,M4-C-33  hydro­li­to­ral ­fin ­til ­mid­del­s ­grus­bunn
M,M-4,M4-C-34,M4-C-34  hydro­li­to­ral ­grov ­grus- ­til stein­bunn
M,M-4,M4-C-35,M4-C-35  hydro­li­to­ral ­leir­bunn
M,M-4,M4-C-36,M4-C-36  hydro­li­to­ral alge­gytje­bunn
M,M-4,M4-C-37,M4-C-37  hydro­li­to­ral skjell­sand­bunn
M,M-4,M4-C-38,M4-C-38  brakk hydro­li­to­ral sand­bunn
M,M-4,M4-C-39,M4-C-39  brakk hydro­li­to­ral ­løs ­mud­der­bunn
M,M-4,M4-C-4,M4-C-4  grunn ­gro­ve­re blan­det sand­bunn
M,M-4,M4-C-40,M4-C-40  brakk hydro­li­to­ral ­fin ­til ­mid­del­s ­grus­bunn
M,M-4,M4-C-41,M4-C-41  brakk hydro­li­to­ral ­silt­bunn
M,M-4,M4-C-42,M4-C-42  brakk hydro­li­to­ral ­leir­bunn
M,M-4,M4-C-43,M4-C-43  brakk hydro­li­to­ral alge­gytje­bunn
M,M-4,M4-C-44,M4-C-44  se­di­ment­bunn pre­get av stor ­masse­trans­port
M,M-4,M4-C-5,M4-C-5  grunn finse­di­ment­bunn
M,M-4,M4-C-6,M4-C-6  grunn ­grus-og stein­bunn
M,M-4,M4-C-7,M4-C-7  grunn ­grus- og stein­bunn ­med ­fin­ma­te­ria­le
M,M-4,M4-C-8,M4-C-8  grunn ­fast­leire­bunn
M,M-4,M4-C-9,M4-C-9  grunn alge­gytje­bunn
M,M-5,M5-C-1,M5-C-1  sand­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-C-10,M5-C-10  ko­rall­grus­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-C-11,M5-C-11  sand­bunn i ­at­lan­tisk ­vann
M,M-5,M5-C-12,M5-C-12  løs ­mud­der­bunn i ­at­lan­tisk ­vann
M,M-5,M5-C-13,M5-C-13  fin ­grus- ­til stein­bunn i ­at­lan­tisk ­vann
M,M-5,M5-C-14,M5-C-14  fin­ma­te­ria­le­rik ­se­di­ment­bunn i ­at­lan­tisk ­vann
M,M-5,M5-C-15,M5-C-15  finse­di­ment­bunn i ­at­lan­tisk ­vann
M,M-5,M5-C-16,M5-C-16  fast­leire­bunn i ­at­lan­tisk ­vann
M,M-5,M5-C-17,M5-C-17  alge­gytje­bunn i ­at­lan­tisk ­vann
M,M-5,M5-C-18,M5-C-18  svamp­spikel­bunn i ­at­lan­tisk ­vann
M,M-5,M5-C-19,M5-C-19  ko­rall­grus­bunn i ­at­lan­tisk ­vann
M,M-5,M5-C-2,M5-C-2  løs ­mud­der­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-C-20,M5-C-20  sand­bunn i in­ter­me­diær­t ­vann
M,M-5,M5-C-21,M5-C-21  løs ­mud­der­bunn I in­ter­me­diær­t ­vann
M,M-5,M5-C-22,M5-C-22  fin ­grus- ­til stein­bunn i in­ter­me­diær­t ­vann
M,M-5,M5-C-23,M5-C-23  fin­ma­te­ria­le­rik ­se­di­ment­bunn i in­ter­me­diær­t ­vann
M,M-5,M5-C-24,M5-C-24  finse­di­ment­bunn I in­ter­me­diær­t ­vann
M,M-5,M5-C-25,M5-C-25  fast ­leir­bunn i in­ter­me­diær­t ­vann
M,M-5,M5-C-26,M5-C-26  svamp­spikel­bunn i in­ter­me­diær­t ­vann
M,M-5,M5-C-27,M5-C-27  bat­hya­l sand­bunn
M,M-5,M5-C-28,M5-C-28  bat­hya­l ­løs ­mud­der­bunn
M,M-5,M5-C-29,M5-C-29  bat­hya­l ­fin ­grus-­til stein­bunn
M,M-5,M5-C-3,M5-C-3  fin ­grus- ­til stein­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-C-30,M5-C-30  bat­hya­l finse­di­ment­bunn
M,M-5,M5-C-31,M5-C-31  bat­hya­l ­fast ­leir­bunn
M,M-5,M5-C-32,M5-C-32  bat­hya­l ­svamp­spikel­bunn
M,M-5,M5-C-33,M5-C-33  abys­sal sand­bunn
M,M-5,M5-C-34,M5-C-34  abys­sal ­løs ­mud­der­bunn
M,M-5,M5-C-35,M5-C-35  abys­sal ­fin ­grus-­til stein­bunn
M,M-5,M5-C-36,M5-C-36  abys­sal finse­di­ment­bunn
M,M-5,M5-C-37,M5-C-37  abys­sal ­fast ­leir­bunn
M,M-5,M5-C-38,M5-C-38  abys­sal ­svamp­spikel­bunn
M,M-5,M5-C-4,M5-C-4  fin­ma­te­ria­le­rik ­se­di­ment­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-C-5,M5-C-5  finse­di­ment­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-C-6,M5-C-6  fast­leire­bunn i øv­re ­sub­li­to­ral
M,M-5,M5-C-7,M5-C-7  alge­gytje­bunn i øv­re ­sub­li­to­ral
