htgrk,htypek,hovedtype
T,T-32,T-32 - Se­mi-­na­tur­lig eng
T,T-33,T-33 - Se­mi-­na­tur­lig ­stran­deng
T,T-34,T-34 - Kyst­lyng­hei
T,T-35,T-35 - Sterk­t ­endret ­fast­mar­k ­med ­løs­masse­dek­ke
T,T-36,T-36 - Ny ­fast­mar­k på ­tid­li­ge­re våt­mar­k og ­fersk­vanns­bunn
T,T-37,"T-37 - Ny ­fast­mar­k på sterk­t ­mo­di­fi­ser­te og ­syn­te­tis­ke ­sub­stra­ter, i rask ­suk­se­sjon"
T,T-38,T-38 - Tre­plan­ta­sje
T,T-39,T-39 - Hard sterk­t ­endret og ­ny ­fast­mar­k i lang­som ­suk­se­sjon
T,T-40,T-40 - Sterk­t ­endret ­fast­mar­k ­med preg av ­se­mi-­na­tur­lig eng
T,T-41,T-41 - Opp­dyr­ket ­mar­k ­med preg av ­se­mi­na­tur­lig eng
T,T-42,"T-42 - Sterk­t ­endret, hyp­pig ­be­ar­bei­det ­fast­mar­k ­med in­ten­siv­t hevd­preg u­tenom å­ker"
T,T-43,"T-43 - Sterk­t ­endret, va­rig ­fast­mar­k ­med in­ten­siv­t preg"
T,T-44,T-44 - Åker
T,T-45,T-45 - Opp­dyr­ket va­rig eng
V,V-1,V-1 - Åpen jord­vanns­myr
V,V-2,V-2 - Myr- og ­sump­skogs­mark
V,V-3,V-3 - Ned­børs­myr
V,V-4,V-4 - Kald­kil­de
V,V-5,V-5 - Var­m ­kil­de
V,V-6,V-6 - Våts­nø­lei­e og s­nø­lei­e­kil­de
V,V-7,V-7 - Ark­tisk ­per­ma­frost-våt­mark
V,V-8,V-8 - Strand­sump­skogs­mark
V,V-9,V-9 - Se­mi-­na­tur­lig ­myr
V,V-10,V-10 - Se­mi-­na­tur­lig våteng
V,V-11,V-11 - Torv­tak
V,V-12,V-12 - Grøf­tet torv­mark
V,V-13,V-13 - Ny våt­mark
