"","htgrk","htypek","hovedtype","adb_id"
27,"L","L09","L9 - Innsjøbunn preget av oksygenmangel","NA L9"
28,"L","L10","L10 - Arktisk permafrost-innsjøbunn","NA L10"
29,"L","L11","L11 - Ny innsjøbunn","NA L11"
30,"L","L12","L12 - Semi-naturlig eutrof innsjøbunn","NA L12"
31,"L","L13","L13 - Semi-naturlig vannstrand-eng","NA L13"
32,"L","L14","L14 - Ny sterkt endret innsjøbunn","NA L14"
33,"L","L15","L15 - Ny innsjøbunn med opphav i elvebunn","NA L15"
34,"L","L16","L16 - Innsjøbunn preget av kronisk fysisk forstyrrelse","NA L16"
35,"L","L17","L17 - Innsjøbunn preget av kronisk kjemisk påvirkning","NA L17"
36,"M","M01","M1 - Eufotisk fast saltvannsbunn","NA M1"
37,"M","M02","M2 - Afotisk fast saltvannsbunn","NA M2"
38,"M","M03","M3 - Fast fjærebeltebunn","NA M3"
39,"M","M04","M4 - Eufotisk marin sedimentbunn","NA M4"
40,"M","M05","M5 - Afotisk marin sedimentbunn","NA M5"
41,"M","M06","M6 - Korallrev-bunn","NA M6"
42,"M","M07","M7 - Marin undervannseng","NA M7"
43,"M","M08","M8 - Helofytt-saltvannsump","NA M8"
44,"M","M09","M9 - Littoralbasseng-bunn","NA M9"
45,"M","M10","M10 - Marin grotte og overheng","NA M10"
46,"M","M11","M11 - Kaldt gassoppkomme","NA M11"
47,"M","M12","M12 - Varm havkilde","NA M12"
48,"M","M13","M13 - Marin sedimentbunn preget av oksygenmangel","NA M13"
49,"M","M14","M14 - Sterkt endret eller ny fast saltvannsbunn","NA M14"
50,"M","M15","M15 - Sterkt endret eller ny marin sedimentbunn","NA M15"
51,"O","O01","O1 - Fast elvebunn","NA O1"
52,"O","O02","O2 - Elvesedimentbunn","NA O2"
53,"O","O03","O3 - Ferskvannskildebunn","NA O3"
54,"O","O04","O4 - Varm ferskvannskildebunn","NA O4"
55,"O","O05","O5 - Ny sedimentbunn i elv","NA O5"
56,"O","O06","O6 - Elvebunn preget av kronisk fysisk forstyrrelse","NA O6"
57,"O","O07","O7 - Elvebunn preget av kronisk fysikalsk-kjemisk påvirkning","NA O7"
58,"T","T01","T1 - Nakent berg","NA T1"
59,"T","T02","T2 - Åpen grunnlendt mark","NA T2"
60,"T","T03","T3 - Fjellhei, leside og tundra","NA T3"
61,"T","T04","T4 - Fastmarksskogsmark","NA T4"
62,"T","T05","T5 - Grotte og overheng","NA T5"
63,"T","T06","T6 - Strandberg","NA T6"
64,"T","T07","T7 - Snøleie","NA T7"
65,"T","T08","T8 - Fuglefjell-eng og fugletopp","NA T8"
66,"T","T09","T9 - Mosetundra","NA T9"
67,"T","T10","T10 - Arktisk steppe","NA T10"
68,"T","T11","T11 - Saltanrikingsmark i fjæresonen","NA T11"
69,"T","T12","T12 - Strandeng","NA T12"
70,"T","T13","T13 - Rasmark","NA T13"
71,"T","T14","T14 - Rabbe","NA T14"
72,"T","T15","T15 - Fosse-eng","NA T15"
73,"T","T16","T16 - Rasmarkhei og -eng","NA T16"
74,"T","T17","T17 - Aktiv skredmark","NA T17"
75,"T","T18","T18 - Åpen flomfastmark","NA T18"
76,"T","T19","T19 - Oppfrysingsmark","NA T19"
77,"T","T20","T20 - Isinnfrysingsmark","NA T20"
78,"T","T21","T21 - Sanddynemark","NA T21"
79,"T","T22","T22 - Fjellgrashei og grastundra","NA T22"
80,"T","T23","T23 - Ferskvanns-driftvoll","NA T23"
81,"T","T24","T24 - Driftvoll","NA T24"
82,"T","T25","T25 - Historisk skredmark","NA T25"
83,"T","T26","T26 - Breforland og snøavsmeltingsområde","NA T26"
84,"T","T27","T27 - Blokkmark","NA T27"
85,"T","T28","T28 - Polarørken","NA T28"
86,"T","T29","T29 - Grus- og steindominert strand og strandlinje","NA T29"
87,"T","T30","T30 - Flomskogsmark","NA T30"
88,"T","T31","T31 - Boreal hei","NA T31"
89,"T","T32","T32 - Semi-naturlig eng","NA T32"
90,"T","T33","T33 - Semi-naturlig strandeng","NA T33"
91,"T","T34","T34 - Kystlynghei","NA T34"
92,"T","T35","T35 - Sterkt endret åpen fastmark med løsmassedekke","NA T35"
93,"T","T36","T36 - Ny fastmark på tidligere våtmark og ferskvannsbunn","NA T36"
94,"T","T37","T37 - Ny fastmark på sterkt modifi-serte og syntetiske substrater, i rask suksesjon","NA T37"
95,"T","T38","T38 - Treplantasje","NA T38"
96,"T","T39","T39 - Sterkt endret eller ny fastmark i langsom suksesjon","NA T39"
97,"T","T40","T40 - Sterkt endret fastmark med preg av semi-naturlig eng","NA T40"
98,"T","T41","T41 - Oppdyrket mark med preg av semi-naturlig eng","NA T41"
99,"T","T42","T42 - Sterkt endret, hyppig bearbeidet fastmark med intensivt hevdpreg","NA T42"
100,"T","T43","T43 - Sterkt endret, varig fastmark med intensivt hevdpreg","NA T43"
101,"T","T44","T44 - Åker","NA T44"
102,"T","T45","T45 - Oppdyrket varig eng","NA T45"
103,"V","V01","V1 - Åpen jordvannsmyr","NA V1"
104,"V","V02","V2 - Myr- og sumpskogsmark","NA V2"
105,"V","V03","V3 - Nedbørsmyr","NA V3"
106,"V","V04","V4 - Kaldkilde","NA V4"
107,"V","V05","V5 - Varm kilde","NA V5"
108,"V","V06","V6 - Våtsnøleie og snøleiekilde","NA V6"
109,"V","V07","V7 - Arktisk permafrost-våtmark","NA V7"
110,"V","V08","V8 - Strandsumpskogsmark","NA V8"
111,"V","V09","V9 - Semi-naturlig myr","NA V9"
112,"V","V10","V10 - Semi-naturlig våteng","NA V10"
113,"V","V11","V11 - Torvtak","NA V11"
114,"V","V12","V12 - Grøftet torvmark","NA V12"
115,"V","V13","V13 - Ny våtmark","NA V13"
