pid,_id,language_id,key,value
106,elementary_segment_DM.0,nb,<description>,"stor ­miljø­va­ria­bi­li­tet; eu­fo­tisk og øv­re a­fo­tisk ­bel­te, ­ty­pisk kob­let ­til ­kys­ten og ­kyst­vann­mas­ser [­sub­li­to­ral ­bel­te; ­ned ­til ­ca. 200 m]"
107,elementary_segment_DM.0,nb,Dyb­de,<200m
108,elementary_segment_DM.0,nb,Tem­pe­ra­tur,va­ria­bel
109,elementary_segment_DM.a,en,<class>,"Atlantic waters, typically in the lower sublitoral (mesopelagial)"
110,elementary_segment_DM.a,en,<description>,fairly high environmental variability; atlantic waters and mesopelagic belt
111,elementary_segment_DM.a,en,Depth,200m-(500m)-700m
112,elementary_segment_DM.a,en,Temperature,2-8
113,elementary_segment_DM.a,nb,<class>,"at­lan­tisk ­vann, ­ty­pisk i ­ned­re ­sub­li­to­ral (me­s­ope­la­gial)"
114,elementary_segment_DM.a,nb,<description>,noks­å stor ­miljø­va­ria­bi­li­tet; ­at­lan­tis­ke ­vann­mas­ser og me­s­ope­la­gisk ­bel­te
115,elementary_segment_DM.a,nb,Dyb­de,200m-(500m)-700m
116,elementary_segment_DM.a,nb,Tem­pe­ra­tur,2-8
117,elementary_segment_DM.b,en,<class>,"intermediate water, typically in the upper bathyal (bathypelagial)"
118,elementary_segment_DM.b,en,<description>,intermediate bodies of water and the upper part of the bathypelagic belt
119,elementary_segment_DM.b,en,Depth,700m-1000m(-1100m)
120,elementary_segment_DM.b,en,Temperature,0-2
121,elementary_segment_DM.b,nb,<class>,"in­ter­me­diær­t ­vann, ­ty­pisk i øv­re ­bat­hya­l (­bat­hype­la­gial)"
122,elementary_segment_DM.b,nb,<description>,in­ter­me­diæ­re ­vann­mas­ser og øv­re ­del av ­bat­hype­la­gisk ­bel­te
123,elementary_segment_DM.b,nb,Dyb­de,700m-1000m(-1100m)
124,elementary_segment_DM.b,nb,Tem­pe­ra­tur,0-2
125,elementary_segment_DM.cd,en,<class>,"deep sea water, typically in the lower bathyal (bathypelagial)"
126,elementary_segment_DM.cd,en,<description>,fairly stable environment; deep-sea bodies of water and bathypelagic belt
127,elementary_segment_DM.cd,en,Depth,1000m-2000m
128,elementary_segment_DM.cd,en,Temperature,<0
129,elementary_segment_DM.cd,nb,<class>,"dyp­havs­vann, ­ty­pisk i ­ned­re ­bat­hya­l (­bat­hype­la­gial)"
130,elementary_segment_DM.cd,nb,<description>,noks­å sta­bil­t ­miljø­; ­dyp­havs­-­vann­mas­ser og ­bat­hype­la­gisk ­bel­te
131,elementary_segment_DM.cd,nb,Dyb­de,1000m-2000m
132,elementary_segment_DM.cd,nb,Tem­pe­ra­tur,<0
133,elementary_segment_DM.ef,en,<class>,"deep-sea water, typically in the abyssal (abysso-pelagial)"
134,elementary_segment_DM.ef,en,<description>,"stable environment; deep-water bodies and abyssopelagic belt, upper part"
135,elementary_segment_DM.ef,en,Depth,>2000m
136,elementary_segment_DM.ef,en,Temperature,<-0.5
137,elementary_segment_DM.ef,nb,<class>,"dyp­havs­vann, ­ty­pisk i a­bys­sal (a­bysso-pe­la­gial)"
138,elementary_segment_DM.ef,nb,<description>,"sta­bil­t ­miljø­; ­dyp­havs­-­vann­mas­ser og a­byss­ope­la­gisk ­bel­te, øv­re ­del"
139,elementary_segment_DM.ef,nb,Dyb­de,>2000m
140,elementary_segment_DM.ef,nb,Tem­pe­ra­tur,<-0.5
141,elementary_segment_ER.0,en,<class>,without erosion
142,elementary_segment_ER.0,en,<description>,"apparently good mass balance, ie balance between supply (sedimentation) and removal (erosion) of material"
143,elementary_segment_ER.0,nb,<class>,uten ­ero­sjons­preg
144,elementary_segment_ER.0,nb,<description>,"til­syne­la­ten­de ­go­d ­masse­ba­lan­se, dvs. ­ba­lan­se ­mel­lom­ ­til­før­sel (­se­di­men­ta­sjon) og ­fjer­ning (­ero­sjon) av ­ma­te­ria­le"
145,elementary_segment_ER.a,en,<class>,slightly erosive
146,elementary_segment_ER.a,en,<description>,"slightly negative mass balance, but with a species composition that bears an observable sign of erosion"
147,elementary_segment_ER.a,nb,<class>,litt ­ero­sjons­pre­get
148,elementary_segment_ER.a,nb,<description>,"svak­t ­ne­ga­tiv ­masse­ba­lan­se, ­men ­med arts­sam­men­set­ning som bæ­rer ­ob­ser­ver­bar­t preg av ­ero­sjon"
149,elementary_segment_ER.b,en,<class>,clearly erosive
150,elementary_segment_ER.b,en,<description>,clearly negative mass balance; the substrate is supplied with clearly less new material by sedimentation than the amount of material eroded away; the species composition consists primarily of erosion-tolerant species
151,elementary_segment_ER.b,nb,<class>,klar­t ­ero­sjons­pre­get
152,elementary_segment_ER.b,nb,<description>,klar­t ­ne­ga­tiv ­masse­ba­lan­se; ­sub­stra­tet ­til­fø­re­s klar­t ­mindre ­nytt ­ma­te­ria­le ved­ ­se­di­men­ta­sjon enn ­meng­den ­ma­te­ria­le som ero­de­res vekk; arts­sam­men­set­nin­gen ­be­står ­først og frem­st av ­ero­sjons­to­le­ran­te ar­ter
153,elementary_segment_ER.¤,en,<class>,characterized by disruptive erosion
154,elementary_segment_ER.¤,en,<description>,erosion with such a high intensity (combination of strong disturbance and high disturbance frequency) that the establishment and maintenance of permanent populations of site-associated organisms is prevented
155,elementary_segment_ER.¤,nb,<class>,pre­get av ­dis­rup­tiv ­ero­sjon
156,elementary_segment_ER.¤,nb,<description>,ero­sjon ­med så høy in­ten­si­tet (­kom­bi­na­sjon av s­ter­k ­for­styr­rel­ses­grad og høy ­for­styr­rel­ses­fre­kvens) at e­tab­le­ring og opp­rett­hol­del­se av ­per­ma­nen­te ­po­pu­la­sjo­ner av stedstil­knytte­te ­or­ga­nis­mer ­for­hind­res
157,elementary_segment_FK.0,en,<class>,normally circulating water
158,elementary_segment_FK.0,en,<description>,encompasses the full range of variation within circulating bodies of water; circulating bottom water with normal chemical composition
159,elementary_segment_FK.0,nb,<class>,nor­mal­t ­sir­ku­le­ren­de ­vann
160,elementary_segment_FK.0,nb,<description>,om­fat­ter he­le spek­te­ret av va­ria­sjon in­nen­for ­sir­ku­le­ren­de ­vann­mas­ser; ­sir­ku­le­ren­de ­bunn­vann ­med ­nor­mal kje­misk ­sam­men­set­ning
161,elementary_segment_FK.a,en,<class>,old seawater
162,elementary_segment_FK.a,en,<description>,ectogenic meromixis; bottom water containing 'fossil' salt water (from before the water body was separated from the sea)
163,elementary_segment_FK.a,nb,<class>,gam­mel­t hav­vann
164,elementary_segment_FK.a,nb,<description>,ek­to­gen ­me­ro­mik­sis; ­bunn­vann som inne­hol­der ­med '­fos­sil­t' salt­vann (­fra ­før ­vann­fore­koms­ten b­le ­skil­t ­fra ha­vet)
165,elementary_segment_FK.b,en,<class>,saline spring water
166,elementary_segment_FK.b,en,<description>,crenogenic meromixis; bottom water supplied with saline spring water
167,elementary_segment_FK.b,nb,<class>,salt­hol­dig ­kilde­vann
168,elementary_segment_FK.b,nb,<description>,kre­n­o­gen ­me­ro­mik­sis; ­bunn­vann som ­til­fø­re­s salt­hol­dig ­kilde­vann
169,elementary_segment_FK.c,en,<class>,ferrous groundwater
170,elementary_segment_FK.c,en,<description>,biogenic / endogenous meromixis; bottom water with reducing conditions and high concentrations of dissolved iron salts
171,elementary_segment_FK.c,nb,<class>,jern­hol­dig ­bunn­vann
172,elementary_segment_FK.c,nb,<description>,bio­gen/en­do­gen ­me­ro­mik­sis; ­bunn­vann ­med re­du­se­ren­de ­for­hold og høy­e kon­sen­tra­sjo­ner av opp­løs­te jernsal­ter
173,elementary_segment_FK.d,en,<class>,bottom water with a high lime content
174,elementary_segment_FK.d,en,<description>,biogenic / endogenous meromixis; high salt concentrations and CO2- and CH4-rich groundwater after precipitation of lime
175,elementary_segment_FK.d,nb,<class>,bunn­vann ­med høyt kalk­inn­hold
176,elementary_segment_FK.d,nb,<description>,bio­gen/en­do­gen ­me­ro­mik­sis; høy­e salt­kon­sen­tra­sjo­ner og CO2- og CH4-rik­t ­bunn­vann et­ter ­ut­fel­ling av kalk
177,elementary_segment_FK.e,en,<class>,humus-rich bottom water
178,elementary_segment_FK.e,en,<description>,biogenic / endogenous meromixis; high salt concentrations and CO2- and CH4-rich groundwater due to large supply of humus
179,elementary_segment_FK.e,nb,<class>,hu­mus­rik­t ­bunn­vann
180,elementary_segment_FK.e,nb,<description>,bio­gen/en­do­gen ­me­ro­mik­sis; høy­e salt­kon­sen­tra­sjo­ner og CO2- og CH4-rik­t ­bunn­vann p­ga. stor ­til­før­sel av hu­mus
181,elementary_segment_FR.0,en,<class>,normal
182,elementary_segment_FR.0,en,<description>,"flood regime characterized by a clear flood peak in the spring during the snowmelt, with a duration of up to a few weeks, and smaller and / or more short-term flood peaks after heavy and / or prolonged rainy episodes"
183,elementary_segment_FR.0,nb,<class>,nor­malt
184,elementary_segment_FR.0,nb,<description>,"flom­re­gi­me som kjenne­teg­ne­s ved­ en ­ty­de­lig ­flom­topp om vå­ren un­der s­nø­smel­tin­gen, ­med ­inn­til ­no­en u­kers va­rig­het, og ­mindre og/el­ler ­mer kort­va­ri­ge ­flom­top­per et­ter ­kraf­ti­ge og/el­ler lang­va­ri­ge regn­værs­epi­so­der"
185,elementary_segment_FR.a,en,<class>,prolonged flooding
186,elementary_segment_FR.a,en,<description>,"flood regime characterized by flooding through late winter and spring lasting several months and drying throughout the summer, often also severe dehydration of the field"
187,elementary_segment_FR.a,nb,<class>,lang­va­rig over­svøm­mel­se
188,elementary_segment_FR.a,nb,<description>,"flom­re­gi­me som kjenne­teg­ne­s ved­ over­svøm­ming ­gjen­nom­ se­in­vin­te­ren og vå­ren som va­rer fle­re ­må­ne­der og tørr­leg­ging ­gjen­nom­ he­le ­som­mer­en, of­te ogs­å s­ter­k ut­tør­king av ­mar­ka"
189,elementary_segment_GS.0,en,<class>,outside the cave
190,elementary_segment_GS.0,en,<description>,no shielding; habitat without protection against precipitation and other precipitation from above
191,elementary_segment_GS.0,nb,<class>,uten­for ­grot­te
192,elementary_segment_GS.0,nb,<description>,in­gen ­skjerm­ing; ­le­ve­sted u­ten ­skjerm­ing ­mot ­ned­bør og an­net ­ned­fal­l o­ven­fra
193,elementary_segment_GS.a,en,<class>,overhang
194,elementary_segment_GS.a,en,<description>,"overhangs under rocks, slopes etc. (slope> 90 °; cavities extending 0–5 m inwards); strongly affected by the environment outside the cave but not directly affected by precipitation and other precipitation from above"
195,elementary_segment_GS.a,nb,<class>,over­heng
196,elementary_segment_GS.a,nb,<description>,"over­heng un­der ­ber­g, hel­le­re et­c. (hel­ning > 90 °; hul­rom som strek­ker ­seg 0–5 m inn­over); sterk­t ­på­vir­ket av ­mil­jø­et u­ten­for ­grot­ta ­men ik­ke ­di­rek­te ­på­vir­ket av ­ned­bør og an­net ­ned­fal­l o­ven­fra"
197,elementary_segment_GS.b,en,<class>,outer parts of deep cave
198,elementary_segment_GS.b,en,<description>,fairly strong shielding; significantly affected by fluctuations in the environment outside the cave and usable illuminated
199,elementary_segment_GS.b,nb,<class>,ytre ­de­ler av ­dyp ­grot­te
200,elementary_segment_GS.b,nb,<description>,noks­å s­ter­k ­skjerm­ing; i ­be­ty­de­lig ­grad ­på­vir­ket av sving­nin­ger i ­mil­jø­et u­ten­for ­grot­ta og ­bruk­bar­t ­opp­lyst
201,elementary_segment_GS.cd,en,<class>,middle parts of deep cave
202,elementary_segment_GS.cd,en,<description>,strong shielding; middle part of deep cave or inner part of shallow cave; to some extent affected by fluctuations in the environment outside the cave and dimly lit; An important limit (towards step ¤) is where there is no longer enough light for mosses to grow
203,elementary_segment_GS.cd,nb,<class>,midt­re ­de­ler av ­dyp ­grot­te
204,elementary_segment_GS.cd,nb,<description>,ster­k ­skjerm­ing; ­midt­re ­del av ­dyp ­grot­te el­ler indre ­del av ­grunn ­grot­te; i ­no­en ­grad ­på­vir­ket av sving­nin­ger i ­mil­jø­et u­ten­for ­grot­ta og s­vak­t ­opp­lyst; ei ­vik­tig ­gren­se (­mot ­trinn ¤) er ­der ­det ik­ke ­len­ger er lys nok ­til at ­mo­ser kan ­vokse
205,elementary_segment_GS.¤,en,<class>,inner parts of deep cave
206,elementary_segment_GS.¤,en,<description>,very strong shielding; where the environment is not affected by fluctuations in the environment outside the cave
207,elementary_segment_GS.¤,nb,<class>,indre ­de­ler av ­dyp ­grot­te
208,elementary_segment_GS.¤,nb,<description>,svær­t s­ter­k ­skjerm­ing; ­der ­mil­jø­et ik­ke ­på­vir­ke­s av sving­nin­ger i ­mil­jø­et u­ten­for ­grot­ta
209,elementary_segment_HF.+,en,<class>,rock wall
210,elementary_segment_HF.+,en,<description>,Berg med stor fare for helningsbetinget forstyrrelse
211,elementary_segment_HF.+,en,Slope,80°-90°
212,elementary_segment_HF.+,nb,<class>,berg­vegg
213,elementary_segment_HF.+,nb,<description>,Ber­g ­med stor ­fa­re ­for hel­nings­be­tin­get ­for­styr­rel­se
214,elementary_segment_HF.+,nb,Hel­ning,80°-90°
215,elementary_segment_HF.0,en,<class>,flat rock
216,elementary_segment_HF.0,en,<description>,Rocks with such a small slope that there is a risk of litter and water accumulating and resulting in 'reverse slope disturbance'
217,elementary_segment_HF.0,en,Slope,<4°
218,elementary_segment_HF.0,nb,<class>,flat­berg
219,elementary_segment_HF.0,nb,<description>,Ber­g ­med så ­li­ten hel­ning at ­det ­fa­re ­for at ­strø og ­vann ­sam­ler ­seg opp og ­re­sul­te­rer i ‘om­vend­t hel­nings­be­tin­get ­for­styr­rel­se’
220,elementary_segment_HF.0,nb,Hel­ning,<4°
221,elementary_segment_HF.a,en,<class>,slightly sloping rock
222,elementary_segment_HF.a,en,<description>,"Rocks with little slope-related disturbance, ie little danger both for the accumulation of litter and water and for the loss of biomass as a result of downward forces acting on the organisms"
223,elementary_segment_HF.a,en,Slope,4°-60°
224,elementary_segment_HF.a,nb,<class>,svak­t hel­len­de ­berg­knaus
225,elementary_segment_HF.a,nb,<description>,"Ber­g ­med ­li­ten hel­nings­be­tin­get ­for­styr­rel­se, dvs. ­li­ten ­fa­re ­både ­for opp­sam­ling av ­strø og ­vann og ­for tap av ­bio­mas­se som ­føl­ge av nedad­rette­te kref­ter som ­vir­ker på ­or­ga­nis­me­ne"
226,elementary_segment_HF.a,nb,Hel­ning,4°-60°
227,elementary_segment_HF.b,en,<class>,strongly sloping rock
228,elementary_segment_HF.b,en,<description>,Rocks with a strong slope and a significant risk of slope-related disturbance
229,elementary_segment_HF.b,en,Slope,60°-80°
230,elementary_segment_HF.b,nb,<class>,sterk­t hel­len­de ­berg­knaus
231,elementary_segment_HF.b,nb,<description>,Ber­g ­med s­ter­k hel­ning og ­be­ty­de­lig ­fa­re ­for hel­nings­be­tin­get ­for­styr­rel­se
232,elementary_segment_HF.b,nb,Hel­ning,60°-80°
233,elementary_segment_HI.0,en,<class>,without management
234,elementary_segment_HI.0,en,<description>,natural soil without grazing
235,elementary_segment_HI.0,nb,<class>,uten hevd­preg
236,elementary_segment_HI.0,nb,<description>,na­tur­lig ­mar­k u­ten hevd­preg
237,elementary_segment_HI.a,en,<class>,clearly managed
238,elementary_segment_HI.a,en,<description>,"natural land with clear traces of grazing, but which is not normally cleared¸ grazing forest in forest land"
239,elementary_segment_HI.a,nb,<class>,ty­de­lig ­beite­pre­get
240,elementary_segment_HI.a,nb,<description>,"na­tur­lig ­mar­k ­med ­ty­de­lig s­por et­ter ­bei­ting, ­men som ­nor­mal­t ik­ke ryd­de­s¸ ­beite­skog i ­skogs­mark"
241,elementary_segment_HI.b,en,<class>,very extensive management
242,elementary_segment_HI.b,en,<description>,"semi-natural land which is cleared relatively regularly, at least in part, and which bears the mark of long-term grazing, mowing and / or burning, but with moderate intensity"
243,elementary_segment_HI.b,nb,<class>,svær­t eks­ten­siv­t hevd­preg
244,elementary_segment_HI.b,nb,<description>,"se­mi-­na­tur­lig ­mar­k som re­la­tiv­t re­gel­mes­sig ryd­de­s, i hver­t ­fal­l ­del­vis, og som bæ­rer preg av lang ­tids­ ­bei­ting, ­slåt­t og/el­ler bren­ning, ­men ­med ­mo­de­rat in­ten­si­tet"
245,elementary_segment_HI.cd,en,<class>,typically extensive management
246,elementary_segment_HI.cd,en,<description>,"semi-natural soil without traces of fertilization, which bears the mark of long-term grazing, mowing and / or burning [c = slightly typical extensive claim; d = strongly typical extensive character]"
247,elementary_segment_HI.cd,nb,<class>,ty­pisk eks­ten­siv­t hevd­preg
248,elementary_segment_HI.cd,nb,<description>,"se­mi-­na­tur­lig ­mar­k u­ten s­por et­ter ­gjøds­ling, som bæ­rer preg av lang ­tids­ ­bei­ting, ­slåt­t og/el­ler bren­ning [c = s­vak­t ­ty­pisk eks­ten­siv­t hevd­preg; d = sterk­t ­ty­pisk eks­ten­siv­t hevd­preg]"
249,elementary_segment_HI.e,en,<class>,extensive character with a weak touch of fertilization
250,elementary_segment_HI.e,en,<description>,"semi-natural soil with traces of fertilization, but which nevertheless has a strong element of species with little or moderate tolerance to fertilization"
251,elementary_segment_HI.e,nb,<class>,eks­ten­siv­t hevd­preg ­med s­vak­t preg av ­gjøds­ling
252,elementary_segment_HI.e,nb,<description>,"se­mi-­na­tur­lig ­mar­k ­med s­por et­ter ­gjøds­ling, ­men som ­li­ke­vel har et sterk­t inn­slag av ar­ter ­med ­li­ten el­ler ­mo­de­rat ­to­le­ran­se ­over­for ­gjøds­ling"
253,elementary_segment_HI.fg,en,<class>,slightly intense management
